id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
BOBR001,BOBR,2020-01-01 00:00:00,2020.0027322,1,-1391662.80764,5971556.56774,1750910.62188,47,940888.5480,1777625.3131,16.038931363425,103.118548838423,151.3220,179.7403
BOBR002,BOBR,2020-01-02 00:00:00,2020.0054645,2,-1391662.81270,5971556.57125,1750910.62417,47,940888.5521,1777625.3142,16.038931371912,103.118548877087,151.3270,179.7453
BOBR003,BOBR,2020-01-03 00:00:00,2020.0081967,3,-1391662.80956,5971556.56822,1750910.61963,47,940888.5498,1777625.3108,16.038931341649,103.118548854958,151.3222,179.7406
BOBR004,BOBR,2020-01-04 00:00:00,2020.0109290,4,-1391662.80979,5971556.57402,1750910.62103,47,940888.5487,1777625.3105,16.038931339591,103.118548844729,151.3281,179.7464
BOBR005,BOBR,2020-01-05 00:00:00,2020.0136612,5,-1391662.81204,5971556.58080,1750910.62302,47,940888.5494,1777625.3105,16.038931339126,103.118548850786,151.3355,179.7538
BOBR007,BOBR,2020-01-07 00:00:00,2020.0191257,7,-1391662.80711,5971556.57129,1750910.62446,47,940888.5467,1777625.3147,16.038931377536,103.118548826104,151.3259,179.7442
BOBR010,BOBR,2020-01-10 00:00:00,2020.0273224,10,-1391662.81061,5971556.57239,1750910.62289,47,940888.5499,1777625.3127,16.038931359212,103.118548855639,151.3273,179.7456
BOBR012,BOBR,2020-01-12 00:00:00,2020.0327869,12,-1391662.81367,5971556.58143,1750910.62668,47,940888.5508,1777625.3137,16.038931368423,103.118548864328,151.3375,179.7558
BOBR013,BOBR,2020-01-13 00:00:00,2020.0355191,13,-1391662.80870,5971556.56980,1750910.62200,47,940888.5486,1777625.3126,16.038931358882,103.118548843754,151.3242,179.7425
BOBR014,BOBR,2020-01-14 00:00:00,2020.0382514,14,-1391662.80953,5971556.56817,1750910.62273,47,940888.5497,1777625.3138,16.038931368676,103.118548854717,151.3231,179.7414
BOBR015,BOBR,2020-01-15 00:00:00,2020.0409836,15,-1391662.81226,5971556.57141,1750910.62334,47,940888.5517,1777625.3133,16.038931364618,103.118548872714,151.3268,179.7452
BOBR016,BOBR,2020-01-16 00:00:00,2020.0437158,16,-1391662.81184,5971556.57700,1750910.62388,47,940888.5500,1777625.3123,16.038931355931,103.118548857069,151.3321,179.7505
BOBR017,BOBR,2020-01-17 00:00:00,2020.0464481,17,-1391662.81174,5971556.57689,1750910.62283,47,940888.5500,1777625.3114,16.038931347140,103.118548856411,151.3317,179.7500
BOBR018,BOBR,2020-01-18 00:00:00,2020.0491803,18,-1391662.80978,5971556.56858,1750910.62012,47,940888.5499,1777625.3111,16.038931344924,103.118548856183,151.3228,179.7411
BOBR021,BOBR,2020-01-21 00:00:00,2020.0573770,21,-1391662.80949,5971556.57174,1750910.62250,47,940888.5489,1777625.3126,16.038931358034,103.118548846771,151.3263,179.7446
